maximum,status
77783,PREDECESSOR_REPORTED_COMPLETE
78061,PREDECESSOR_REPORTED_COMPLETE
78443,PREDECESSOR_REPORTED_COMPLETE
78517,PREDECESSOR_REPORTED_COMPLETE
78667,PREDECESSOR_REPORTED_COMPLETE
78809,PREDECESSOR_REPORTED_COMPLETE
79009,PREDECESSOR_REPORTED_COMPLETE
79043,PREDECESSOR_REPORTED_COMPLETE
79159,PREDECESSOR_REPORTED_COMPLETE
79259,PREDECESSOR_REPORTED_COMPLETE
79319,PREDECESSOR_REPORTED_COMPLETE
79463,PREDECESSOR_REPORTED_COMPLETE
79703,PREDECESSOR_REPORTED_COMPLETE
79711,PREDECESSOR_REPORTED_COMPLETE
80117,PREDECESSOR_REPORTED_COMPLETE
80153,PREDECESSOR_REPORTED_COMPLETE
80291,PREDECESSOR_REPORTED_COMPLETE
80513,PREDECESSOR_REPORTED_COMPLETE
80567,PREDECESSOR_REPORTED_COMPLETE
81143,PREDECESSOR_REPORTED_COMPLETE
81209,PREDECESSOR_REPORTED_COMPLETE
81241,PREDECESSOR_REPORTED_COMPLETE
81257,PREDECESSOR_REPORTED_COMPLETE
81379,PREDECESSOR_REPORTED_COMPLETE
81421,PREDECESSOR_REPORTED_COMPLETE
81577,PREDECESSOR_REPORTED_COMPLETE
81817,PREDECESSOR_REPORTED_COMPLETE
81953,PREDECESSOR_REPORTED_COMPLETE
81979,PREDECESSOR_REPORTED_COMPLETE
81983,PREDECESSOR_REPORTED_COMPLETE
82081,PREDECESSOR_REPORTED_COMPLETE
82115,PREDECESSOR_REPORTED_COMPLETE
82193,PREDECESSOR_REPORTED_COMPLETE
82279,PREDECESSOR_REPORTED_COMPLETE
82661,PREDECESSOR_REPORTED_COMPLETE
82681,PREDECESSOR_REPORTED_COMPLETE
82813,PREDECESSOR_REPORTED_COMPLETE
82823,PREDECESSOR_REPORTED_COMPLETE
82913,PREDECESSOR_REPORTED_COMPLETE
82921,PREDECESSOR_REPORTED_COMPLETE
83123,PREDECESSOR_REPORTED_COMPLETE
83137,PREDECESSOR_REPORTED_COMPLETE
83149,PREDECESSOR_REPORTED_COMPLETE
83159,PREDECESSOR_REPORTED_COMPLETE
83183,PREDECESSOR_REPORTED_COMPLETE
83243,PREDECESSOR_REPORTED_COMPLETE
83311,PREDECESSOR_REPORTED_COMPLETE
83723,PREDECESSOR_REPORTED_COMPLETE
83737,PREDECESSOR_REPORTED_COMPLETE
84269,PREDECESSOR_REPORTED_COMPLETE
84271,PREDECESSOR_REPORTED_COMPLETE
84593,PREDECESSOR_REPORTED_COMPLETE
84925,PREDECESSOR_REPORTED_COMPLETE
85163,PREDECESSOR_REPORTED_COMPLETE
85171,PREDECESSOR_REPORTED_COMPLETE
85487,PREDECESSOR_REPORTED_COMPLETE
85553,PREDECESSOR_REPORTED_COMPLETE
85733,PREDECESSOR_REPORTED_COMPLETE
85933,PREDECESSOR_REPORTED_COMPLETE
85951,PREDECESSOR_REPORTED_COMPLETE
86269,PREDECESSOR_REPORTED_COMPLETE
86273,PREDECESSOR_REPORTED_COMPLETE
86423,PREDECESSOR_REPORTED_COMPLETE
86543,PREDECESSOR_REPORTED_COMPLETE
86603,PREDECESSOR_REPORTED_COMPLETE
86633,PREDECESSOR_REPORTED_COMPLETE
86693,PREDECESSOR_REPORTED_COMPLETE
86753,PREDECESSOR_REPORTED_COMPLETE
86783,PREDECESSOR_REPORTED_COMPLETE
87341,PREDECESSOR_REPORTED_COMPLETE
87407,PREDECESSOR_REPORTED_COMPLETE
87443,PREDECESSOR_REPORTED_COMPLETE
87589,PREDECESSOR_REPORTED_COMPLETE
87593,PREDECESSOR_REPORTED_COMPLETE
87767,PREDECESSOR_REPORTED_COMPLETE
88019,PREDECESSOR_REPORTED_COMPLETE
88043,PREDECESSOR_REPORTED_COMPLETE
88129,PREDECESSOR_REPORTED_COMPLETE
88189,PREDECESSOR_REPORTED_COMPLETE
88339,PREDECESSOR_REPORTED_COMPLETE
88357,PREDECESSOR_REPORTED_COMPLETE
88441,PREDECESSOR_REPORTED_COMPLETE
88621,PREDECESSOR_REPORTED_COMPLETE
88667,PREDECESSOR_REPORTED_COMPLETE
88687,PREDECESSOR_REPORTED_COMPLETE
88693,PREDECESSOR_REPORTED_COMPLETE
88771,PREDECESSOR_REPORTED_COMPLETE
89153,PREDECESSOR_REPORTED_COMPLETE
89213,PREDECESSOR_REPORTED_COMPLETE
89573,PREDECESSOR_REPORTED_COMPLETE
89701,PREDECESSOR_REPORTED_COMPLETE
89717,PREDECESSOR_REPORTED_COMPLETE
89939,PREDECESSOR_REPORTED_COMPLETE
90031,PREDECESSOR_REPORTED_COMPLETE
90173,PREDECESSOR_REPORTED_COMPLETE
90299,PREDECESSOR_REPORTED_COMPLETE
90319,PREDECESSOR_REPORTED_COMPLETE
90439,PREDECESSOR_REPORTED_COMPLETE
90451,PREDECESSOR_REPORTED_COMPLETE
90481,PREDECESSOR_REPORTED_COMPLETE
90563,PREDECESSOR_REPORTED_COMPLETE
90731,PREDECESSOR_REPORTED_COMPLETE
90761,PREDECESSOR_REPORTED_COMPLETE
90803,PREDECESSOR_REPORTED_COMPLETE
90863,PREDECESSOR_REPORTED_COMPLETE
90917,PREDECESSOR_REPORTED_COMPLETE
91037,PREDECESSOR_REPORTED_COMPLETE
